,model,mse,thetas
33,3 1 2,4.827637552171322e+287,2.0066390210981953e+127 1.3845480741457559e+129 9.94202044180194e+130 7.335423041016844e+132 4.077702822626628e+130 1.4952051138659025e+128 1.4383108122370867e+129
34,3 1 3,4.858402273883644e+287,2.0130262148672459e+127 1.3889488926951365e+129 9.97360817395437e+130 7.358724326278676e+132 4.0906824323840097e+130 1.4999735091586513e+128 1.4429039821549236e+129 1.5620140610090266e+130
35,3 1 4,6.834159997523605e+287,2.388071678402392e+127 1.6467292243780815e+129 1.1822544225405987e+131 8.722146310725187e+132 4.852838931233496e+130 1.781047669918254e+128 1.7144558698036192e+129 1.8569335961570986e+130 2.1463819437409476e+131
36,3 2 1,5.167688552391139e+77,6.941858745846499e+19 2.854415283178407e+21 1.6403158918536286e+23 1.060432016418205e+25 1.57323978782379e+23 3.7108376822437185e+26 5.237606024905975e+20
37,3 2 2,5.167826324918093e+77,6.941951280530831e+19 2.854453332409187e+21 1.6403377571909162e+23 1.0604461519289236e+25 1.5732607590081517e+23 3.710887147404939e+26 5.237675842494747e+20 5.067615237784355e+21
38,3 2 3,5.16939391671154e+77,6.943003958974424e+19 2.854886181416e+21 1.6405864975826405e+23 1.0606069576383607e+25 1.5734993242745692e+23 3.711449849270899e+26 5.238470159106353e+20 5.06838381493848e+21 5.502994833371242e+22
39,3 2 4,5.197245745612838e+77,6.961667057639983e+19 2.8625601368481034e+21 1.6449963681026e+23 1.0634578424041724e+25 1.577728393446236e+23 3.721424024490315e+26 5.2525626159099865e+20 5.082026849174671e+21 5.5178143767919755e+22 6.385265387265441e+23
40,3 3 1,1.2283143925634874e+23,0.9999999999295349 0.999999997098182 0.9999998330980734 0.9999892039628212 0.9999998347023105 0.9995988954476627 -0.0004103262741025985 0.999999999468657
41,3 3 2,1.2284181682494706e+23,0.9999999999295349 0.9999999970981817 0.9999998330979631 0.9999892039561599 0.9999998347022632 0.9995988953842494 -0.00041033134194106016 0.9999999994686568 0.9999999948619108
42,3 3 3,1.229540613382521e+23,0.9999999999295349 0.9999999970981596 0.9999998330968562 0.9999892038844366 0.9999998347015905 0.999598894692139 -0.00041038633466999977 0.9999999994686358 0.999999994861776 0.9999999442396169
43,3 3 4,1.2427580423034409e+23,0.9999999999295339 0.9999999970979352 0.9999998330839712 0.9999892030577718 0.9999998346939788 0.9995988866467413 -0.00041102239891507305 0.9999999994685228 0.9999999948599523 0.999999944214935 0.9999993546864288
44,3 4 1,3.900233236291586e+29,0.9999999999999755 0.9999999999989891 0.9999999999415683 0.9999999962266262 0.9999999999396543 0.9999998493076379 0.99961523508339 -0.00038411643811355617 0.9999999999998144
45,3 4 2,3.900233441836062e+29,0.9999999999999755 0.9999999999989891 0.9999999999415683 0.9999999962266262 0.9999999999396543 0.9999998493076379 0.9996152350833755 -0.00038411643990695976 0.9999999999998144 0.9999999999981838
