,model,mse,thetas
38,3 2 3,54703122977.66079,1.0000088797798294 1.0002192015602958 1.0043239098797068 0.8466675090398547 1.008295301866358 0.09414511848012545 1.0000683392127458 1.0006679271627361 1.0072942972831778
39,3 2 4,53341252344.73886,1.0000087142038436 1.0002149107771414 1.0041618693850756 0.8401943779356872 1.0081329643189552 0.09254501109599593 1.000062746496636 1.000582529212436 1.0061116267981478 1.06881906457074
40,3 3 1,308832311570.11633,0.9999999999043842 0.9999999958166326 0.999999748294486 0.9999831572784772 0.9999997987460373 0.9995591540116842 -0.0003649951456326272 0.9999999992839887
41,3 3 2,308869170693.0221,0.9999999999043842 0.9999999958166323 0.9999997482892454 0.999983156943415 0.9999997987429853 0.9995591508934779 -0.0003650000667014543 0.9999999992839886 0.9999999930763759
42,3 3 3,309265927327.0088,0.9999999999043842 0.9999999958155221 0.999999748232306 0.9999831533079994 0.9999997987099634 0.9995591167763928 -0.0003650533840522537 0.9999999992828802 0.9999999930694868 0.9999999246634791
43,3 3 4,313992907285.3562,0.9999999999043833 0.9999999958044173 0.9999997475724265 0.9999831112234782 0.9999997983249099 0.9995587194721242 -0.00036566974696717453 0.9999999992773265 0.9999999929764538 0.9999999234135836 0.9999991102409137
44,3 4 1,2.500656780408179e+18,0.9999999999999756 0.9999999999989811 0.9999999999188351 0.9999999947207404 0.9999999999259147 0.9999998282705789 0.9995912586881152 -0.0003834129442807194 0.9999999999998194
45,3 4 2,2.500656909995232e+18,0.9999999999999756 0.9999999999989811 0.9999999999188351 0.9999999947207404 0.9999999999259147 0.9999998282705789 0.9995912586874198 -0.000383412946015052 0.9999999999998194 0.9999999999971547
46,3 4 3,2.500658302336658e+18,0.9999999999999756 0.9999999999989811 0.9999999999188351 0.9999999947207404 0.9999999999259147 0.9999998282705789 0.9995912586798228 -0.0003834129647868288 0.9999999999998194 0.9999999999971547 0.9999999999734467
47,3 4 4,2.5006742919828623e+18,0.9999999999999756 0.9999999999989811 0.9999999999188351 0.9999999947207404 0.9999999999259147 0.9999998282705788 0.9995912585913775 -0.0003834131816278761 0.9999999999998194 0.9999999999971547 0.9999999999734467 0.9999999996942243
48,4 1 1,207626024640.0274,1.0000036213679824 1.0000938097754257 1.0030025828605793 1.0765501805686113 0.009996891557368876 1.0073547002113377 1.0000272739162648
49,4 1 2,207573863803.53387,1.000003620894533 1.0000937979697075 1.0030021974508734 1.0765393449008513 0.009994708233224906 1.0073537429900237 1.000027267899991 1.0002641245225028
50,4 1 3,207008561591.0765,1.0000036157350323 1.0000936693913935 1.0029979961748694 1.0764211379346746 0.009971001384859892 1.0073433271713421 1.0000271967092436 1.0002632163744007 1.0028607444519098
51,4 1 4,200507137324.08292,1.0000035550541002 1.0000921581770792 1.0029485975315648 1.075030714255637 0.00968899270944943 1.007220964203589 1.0000263154731264 1.0002516249013287 1.0027098059125326 1.0311717759239496
52,4 2 1,53896876728.66763,1.0000007659512042 1.000022240382087 1.00067119111642 1.0110799882790384 -0.0030515397834247485 1.0005142462182257 0.09567312087081248 1.0000059515174835
